metric,feature,pearson_r
comments,cap_len,0.335139928112324
comments,cap_emoji_count,0.295783566840821
comments,cap_has_question,0.12043446887515127
eng_score,cap_len,0.4867073200177543
eng_score,cap_emoji_count,0.2395021448881692
eng_score,cap_has_question,0.21111565757550457
pos_rate,cap_has_question,0.08776508229635918
pos_rate,cap_len,0.06976463702736597
pos_rate,cap_emoji_count,0.011626545003347467
tag_rate,cap_len,0.527344396145743
tag_rate,cap_emoji_count,0.27176070411557207
tag_rate,cap_has_question,0.19768643103148636
